{'timestamp': '2025-08-02T18:45:31.320080', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:36.910897', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:42.494443', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:48.076771', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:53.665036', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:59.249683', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:04.764235', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:10.367109', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:16.327125', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:22.193816', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:27.809906', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:33.387213', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:39.208172', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:44.965769', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:50.647933', 'sound_detected': True}
{'timestamp': '2025-08-02T18:46:56.289946', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:02.247225', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:07.836167', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:13.445185', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:19.374655', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:25.211490', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:30.960833', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:36.481682', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:42.064926', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:47.645823', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:53.231741', 'sound_detected': True}
{'timestamp': '2025-08-02T18:47:59.092217', 'sound_detected': True}
{'timestamp': '2025-08-02T18:48:04.833620', 'sound_detected': True}
{'timestamp': '2025-08-02T18:48:10.538711', 'sound_detected': True}
{'timestamp': '2025-08-02T18:48:16.173067', 'sound_detected': True}
